variable,missing_count,missing_pct,critical
total_fixations_subject_object,12352,51.85,False
trial_duration,12329,51.76,False
total_trial_duration,12329,51.76,False
CURRENT_SAC_START_INTEREST_AREA_LABEL,3313,13.91,False
CURRENT_SAC_START_INTEREST_AREA_ID,3313,13.91,False
CURRENT_SAC_END_INTEREST_AREA_LABEL,3199,13.43,False
CURRENT_SAC_END_INTEREST_AREA_ID,3199,13.43,False
CURRENT_SAC_DIRECTION,302,1.27,False
CURRENT_SAC_END_Y,30,0.13,False
CURRENT_SAC_AMPLITUDE,30,0.13,True
CURRENT_SAC_END_X,30,0.13,False
CURRENT_SAC_ANGLE,30,0.13,False
CURRENT_SAC_AVG_VELOCITY,1,0.0,False
merge_key,0,0.0,False
sentence_clean,0,0.0,False
time_from_trial_start,0,0.0,False
TRIAL_LABEL,0,0.0,False
stimulus_file,0,0.0,False
TRIAL_INDEX,0,0.0,True
trial_id,0,0.0,False
saccade_transition,0,0.0,False
aoi_type_end,0,0.0,False
aoi_type_start,0,0.0,False
audio,0,0.0,False
language,0,0.0,False
exp_id,0,0.0,False
session_var,0,0.0,False
image_id,0,0.0,False
image,0,0.0,False
stim_id,0,0.0,False
CURRENT_SAC_PEAK_VELOCITY,0,0.0,False
voice_id,0,0.0,True
sentence,0,0.0,True
data_file,0,0.0,False
TRIAL_START_TIME,0,0.0,False
CURRENT_SAC_DURATION,0,0.0,False
CURRENT_SAC_START_Y,0,0.0,False
CURRENT_SAC_START_X,0,0.0,False
CURRENT_SAC_END_TIME,0,0.0,False
CURRENT_SAC_START_TIME,0,0.0,False
CURRENT_SAC_INDEX,0,0.0,False
participant_id,0,0.0,True
